A/C/D/U,Valid-From Date,Valid To Date,Offer Display Name,Offer ID,License Agreement Type,Purchase Unit,Secondary License Type,End Customer Type,List Price,ERP Price,Material
UNC,20210501,99991231,Dynamics 365 Marketing Addnl Contacts Tier 1 (Nonprofit Staff Pricing),cc73d077-863e-4a22-8e3f-c277755eb42d,Charity,1 Month(s),ADDON,CLOUD RESELLER CHARITY,157.5,175,AAD-38184
UNC,20210501,99991231,Dynamics 365 Marketing Addnl Contacts Tier 1 for CE Plan,59ba8bec-f4db-4100-b20c-a05eb4d7636c,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,450,600,AAD-14646
UNC,20210501,99991231,Dynamics 365 Marketing Addnl Contacts Tier 1 for CE Plan (Nonprofit Staff Pricing),c8d32cc9-a6de-481e-aef5-37a614845e0f,Charity,1 Month(s),ADDON,CLOUD RESELLER CHARITY,378,420,AAD-56950
UNC,20210501,99991231,Dynamics 365 Marketing Addnl Contacts Tier 1 for CE Plan for Faculty,b7a6bf73-4192-4b45-9e82-b1ffd8814890,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,247.5,330,AAD-14651
UNC,20210501,99991231,Dynamics 365 Marketing Addnl Contacts Tier 1 for CE Plan for Students,8f9819d1-456e-42d0-9396-ed0438d8007f,Academic,1 Month(s),ADDON,CLOUD RESELLER STUDENT,180,240,AAD-14652
UNC,20210501,99991231,Dynamics 365 Marketing Addnl Contacts Tier 1 for Faculty,bbbb2f8c-df19-462c-bdfb-5edc6bd3d514,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,103.1,137.5,AAD-11554
UNC,20210501,99991231,Dynamics 365 Marketing Addnl Contacts Tier 1 for Students,aeee05af-a7de-4880-9e8a-919401c7e6aa,Academic,1 Month(s),ADDON,CLOUD RESELLER STUDENT,75,100,AAD-11555
UNC,20210501,99991231,Dynamics 365 Marketing Addnl Contacts Tier 2,79f41ba9-3b82-4a90-a0c6-d17285e70e66,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,1125,1500,AAD-32911
UNC,20210501,99991231,Dynamics 365 Marketing Addnl Contacts Tier 2 (Nonprofit Staff Pricing),ccd6404d-c092-4eb9-af27-8a3e18cfc836,Charity,1 Month(s),ADDON,CLOUD RESELLER CHARITY,945,1050,AAD-34819
UNC,20210501,99991231,Dynamics 365 Marketing Addnl Contacts Tier 2 for Faculty,316578a0-959b-4c5a-8e4b-e1f0a7c490bd,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,618.8,825,AAD-32913
UNC,20210501,99991231,Dynamics 365 Marketing Addnl Contacts Tier 2 for Students,f7d33505-b6ae-40ba-a711-bafed8fb722b,Academic,1 Month(s),ADDON,CLOUD RESELLER STUDENT,450,600,AAD-32912
UNC,20210501,99991231,Dynamics 365 Marketing Addnl Contacts Tier 3,ad661450-aefb-4c7f-a74e-e06d246a922f,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,937.5,1250,AAD-32918
UNC,20210501,99991231,Dynamics 365 Marketing Addnl Contacts Tier 3 (Nonprofit Staff Pricing),78f1d294-6dc3-4222-8e67-014346ab4211,Charity,1 Month(s),ADDON,CLOUD RESELLER CHARITY,787.5,875,AAD-34808
UNC,20210501,99991231,Dynamics 365 Marketing Addnl Contacts Tier 3 for Faculty,23910d1e-bcd9-4125-82a2-ebbe75f21622,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,515.6,687.5,AAD-32921
UNC,20210501,99991231,Dynamics 365 Marketing Addnl Contacts Tier 3 for Students,e28ec581-d18a-4c1f-bd3e-75f24082a5b2,Academic,1 Month(s),ADDON,CLOUD RESELLER STUDENT,375,500,AAD-32919
UNC,20210501,99991231,Dynamics 365 Marketing Addnl Contacts Tier 4,4c7ace9a-b6b9-4ceb-9bef-57e4eda5adc2,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,562.5,750,AAD-32925
UNC,20210501,99991231,Dynamics 365 Marketing Addnl Contacts Tier 4 (Nonprofit Staff Pricing),e74daf22-5301-4da7-9759-9b2405bcbf0a,Charity,1 Month(s),ADDON,CLOUD RESELLER CHARITY,472.5,525,AAD-34811
UNC,20210501,99991231,Dynamics 365 Marketing Addnl Contacts Tier 4 for Faculty,f4cb7b65-10f3-4131-a9ed-625928db1f66,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,309.4,412.5,AAD-32927
UNC,20210501,99991231,Dynamics 365 Marketing Addnl Contacts Tier 4 for Students,6e43db5b-5f2c-4617-b735-0a78e84b7a3e,Academic,1 Month(s),ADDON,CLOUD RESELLER STUDENT,225,300,AAD-32926
UNC,20210501,99991231,Dynamics 365 Marketing Addnl Contacts Tier 5,b18b7cec-5eda-4445-90bf-d609059cd554,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,375,500,AAD-32931
UNC,20210501,99991231,Dynamics 365 Marketing Addnl Contacts Tier 5 (Nonprofit Staff Pricing),9b35db7c-0dab-4625-b3e7-95dc779a0619,Charity,1 Month(s),ADDON,CLOUD RESELLER CHARITY,315,350,AAD-34813
UNC,20210501,99991231,Dynamics 365 Marketing Addnl Contacts Tier 5 for Faculty,7e0ebe81-fee6-4f09-b901-eb407ef10497,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,206.3,275,AAD-32933
UNC,20210501,99991231,Dynamics 365 Marketing Addnl Contacts Tier 5 for Students,c99cc6f6-3fd9-4215-8aa8-bb0b3fd088a0,Academic,1 Month(s),ADDON,CLOUD RESELLER STUDENT,150,200,AAD-32932
